Year;Country Code;Country Name;Air transport, freight (million ton-km);Arable land (hectares per person);Cereal yield (kg per hectare);Food production index (2004-2006 = 100);GDP growth (annual %);GDP per capita (constant 2010 US$);Net flows from UN agencies US$;Life expectancy at birth, total (years);Mobile cellular subscriptions (per 100 people);Population density (people per sq. km of land area);Adjusted savings: education expenditure (% of GNI);Rural population (% of total population)
1988;LAO;Lao PDR;0.100000002;0.197721305;1873.7;36.42;-2.01020105;401.5781662;24699999.71;52.497;0;17.42119151;1.8;85.234
1989;LAO;Lao PDR;0.100000002;0.192082574;2311.1;45.92;14.19063663;445.4870496;20710000.01;52.935;0;17.93260399;1.8;84.902
1990;LAO;Lao PDR;0.800000012;0.187625984;2268;48.47;6.704578687;462.0016272;18820000;53.364;0;18.45091854;1.8;84.563
1991;LAO;Lao PDR;0.800000012;0.182451916;2186.6;43.36;4.296563641;468.5640345;13829999.98;53.799;0;18.97415945;1.8;84.218
1992;LAO;Lao PDR;0.800000012;0.177541707;2611;50.95;5.559857768;481.3042645;17299999.95;54.258;0.006443942;19.49892114;1.8;83.867
1993;LAO;Lao PDR;0.800000012;0.172945819;2242.8;47.99;5.912556556;496.5658366;13940000.15;54.753;0.007359397;20.01708839;1.9120509;83.51
1994;LAO;Lao PDR;0.800000012;0.17356987;2555.2;55.1;8.15901853;523.936683;20940000.06;55.285;0.013197222;20.5192591;1.9120509;83.146
1995;LAO;Lao PDR;0.899999976;0.170845539;2492.7;52.3;7.031254328;547.9743214;14719999.79;55.851;0.031754986;20.99862652;1.9;82.622
1996;LAO;Lao PDR;0.899999976;0.166424469;2523.3;52.01;6.928323725;573.5478138;17479999.48;56.44;0.076547177;21.45231802;2.1;81.766
1997;LAO;Lao PDR;0.899999976;0.169098363;2719.1;58.48;6.872091273;600.9322346;15789999.9;57.04;0.097320662;21.88178076;1.9;80.88
1998;LAO;Lao PDR;1.700000048;0.167554264;2687.6;60.65;3.967608091;613.3243933;9910000.146;57.637;0.125432444;22.29030329;1.3670385;79.961
1999;LAO;Lao PDR;1.5;0.167515194;2899.8;73.41;7.306376073;646.7287373;11439999.94;58.225;0.230701085;22.68347487;1.13351925;79.009
2000;LAO;Lao PDR;1.671;0.172812142;3017.7;81.85;5.798782326;672.8753883;12039999.96;58.803;0.238198997;23.06629116;0.9;78.023
2001;LAO;Lao PDR;1.64;0.179311451;3094.4;84.27;5.751412882;700.2783306;12670000.02;59.372;0.546160498;23.43839688;1.09;77.007
2002;LAO;Lao PDR;1.828;0.184772355;3244.5;92.83;5.918743682;730.4292713;14510000.11;59.937;1.004142178;23.80089255;1.18;75.956
2003;LAO;Lao PDR;1.911;0.190078614;3116.7;91.32;6.067002304;763.1587752;11070000.05;60.502;2.013309089;24.16221837;1.32;74.874
2004;LAO;Lao PDR;2.261;0.195153551;3261.4;96.32;6.35769548;799.4119048;12579999.92;61.065;3.606208038;24.5329636;1.46;73.758
2005;LAO;Lao PDR;2.481;0.199941721;3577.2;100.95;7.107568369;842.9118834;17070000.2;61.625;11.4319374;24.92060659;1.05;72.814
2006;LAO;Lao PDR;2.545;0.205265961;3634.4;102.73;8.619266209;900.7808533;16889999.85;62.182;17.26911086;25.32961005;1.106326626;72.252
2007;LAO;Lao PDR;2.625;0.208580462;3837.3;110.08;7.596828801;953.092092;19970000.7;62.731;24.86832517;25.75800693;1.162653253;71.684
2008;LAO;Lao PDR;2.579;0.21334233;4015.5;112.78;7.824902763;1010.390665;34619999.47;63.271;33.44236946;26.19852686;1.218979879;71.107
2009;LAO;Lao PDR;2.367;0.221187736;4170.1;120.05;7.501774913;1068.168511;15970000.41;63.797;52.60758384;26.64048094;1.275306505;70.525
2010;LAO;Lao PDR;0.122;0.22402993;3831.5;126.4;8.526905517;1140.599205;13709999.89;64.306;64.0628788;27.07610485;1.490690263;69.936
2011;LAO;Lao PDR;0.389;0.224968086;4043.3;138.93;8.038652681;1213.184693;15149999.83;64.797;86.34569749;27.50245667;1.489416226;69.34
2012;LAO;Lao PDR;0.966483518;0.224997013;4081.7;146.92;8.026098434;1290.837748;16717037.74;65.267;66.72325212;27.92257366;1.407173425;68.736
2013;LAO;Lao PDR;1.409832;0.227630454;4195.6;155.88;8.026300226;1373.814438;17086917.85;65.717;70.51517557;28.34187175;2.919004517;68.128
2014;LAO;Lao PDR;1.37196;0.229677115;4507.8;182.64;7.611963441;1456.467655;17626343.94;66.144;69.55957418;28.76844021;2.613163658;67.513
2015;LAO;Lao PDR;1.356497701;0.226222059;4608.2;202.98;7.270065843;1538.851169;14047980.2;66.546;55.28959094;29.20781629;2.613163658;66.892
2016;LAO;Lao PDR;1.49602039;0.222762826;4626.7;211.35;7.022836255;1621.738558;12957792.44;66.924;57.82353269;29.66137782;2.613163658;66.264
2017;LAO;Lao PDR;1.473259309;0.227169666;4497.7;189.5610744;6.892530873;1706.793233;10617159.43;67.277;53.38406897;30.12580156;2.613163658;65.632
2018;LAO;Lao PDR;1.532552529;0.225345979;4579.613892;202.3770886;6.247960008;1785.576798;11598185.95;66.71033362;51.86337704;30.59578423;2.618630062;64.996
2019;LAO;Lao PDR;;0.223903308;4568.079238;208.1697474;6.916901968;1660.009862;0;66.99642838;55.31775302;29.87564818;2.613163658;65.97491527
1960;LKA;Sri Lanka;;0.058843093;1765.4;41.48;3.818019558;585.9083978;0;59.369;0;161.2444108;3.9;83.569
1961;LKA;Sri Lanka;;0.058843093;1765.4;41.48;3.818019558;585.9083978;0;59.769;0;161.2444108;3.9;83.408
1962;LKA;Sri Lanka;;0.055737058;1869.1;44.39;3.818019558;594.1446082;0;60.177;0;165.0801945;3.9;83.247
1963;LKA;Sri Lanka;;0.07473453;1848.4;46.3;2.516748594;594.9971436;0;60.611;0;168.9923617;3.9;83.084
1964;LKA;Sri Lanka;;0.072811228;1917;49.21;3.906433837;603.8547113;0;61.078;0;173.0182587;3.9;82.986
1965;LKA;Sri Lanka;;0.07137187;1681.6;44.53;2.536953535;604.6380788;0;61.579;0;177.1778026;3.9;82.89
1966;LKA;Sri Lanka;;0.069591685;1732.9;45.13;5.023789439;619.9568463;0;62.104;0;181.480944;3.9;82.793
1967;LKA;Sri Lanka;;0.067938221;2038.5;50.38;6.43902442;644.1976911;0;62.631;0;185.8977834;3.9;82.696
1968;LKA;Sri Lanka;;0.066847608;2283.1;53.04;5.801094167;665.5846732;2670000.076;63.144;0;190.3619837;3.9;82.598
1969;LKA;Sri Lanka;;0.065820949;2426.8;52.7;7.716819662;700.6674633;2980000.049;63.634;0;194.784819;3.9;82.5
1970;LKA;Sri Lanka;1.799999952;0.064874008;2154.7;56.67;3.846629855;711.8393265;3729999.93;64.097;0;199.1028544;3.9;82.402
1971;LKA;Sri Lanka;1.899999976;0.06401094;1939.2;56.29;1.306905402;706.3165088;4810000.122;64.528;0;203.2821081;3.1788153;82.303
1972;LKA;Sri Lanka;3.5;0.06321992;1966.8;55.46;-0.410479919;689.6537084;3690000.057;64.934;0;207.3390368;3.1788153;82.204
1973;LKA;Sri Lanka;2.900000095;0.062480965;1843.5;54.14;7.057398935;724.4076599;6220000.028;65.321;0;211.3225323;3.5;82.104
1974;LKA;Sri Lanka;2.599999905;0.061768924;1885.8;60.88;3.845830837;738.3439036;5220000.088;65.694;0;215.3075267;2.8;82.004
1975;LKA;Sri Lanka;2;0.061795055;1752.8;62.73;6.126233165;769.1521379;14590000.03;66.067;0;219.3453357;2.9;81.903
1976;LKA;Sri Lanka;2.400000095;0.064226539;1812.1;63.84;3.33510669;780.1845691;21559999.76;66.459;0;223.4555733;2.4560361;81.802
1977;LKA;Sri Lanka;2.200000048;0.066556929;2022.8;65.78;5.100590268;805.0079624;25199999.63;66.874;0;227.6111465;2.4560361;81.701
1978;LKA;Sri Lanka;0.5;0.068805651;2144.1;69.75;5.653836852;835.2950042;8540000.082;67.308;0;231.7603253;2.4560361;81.599
1979;LKA;Sri Lanka;1.799999952;0.06085661;2337.7;80.07;6.403556925;873.4482241;17260000.23;67.751;0;235.8294052;2.3;81.496
1980;LKA;Sri Lanka;9.699999809;0.059857006;2501.1;86.72;5.846026516;909.3246401;19059999.79;68.171;0;239.7677244;2.3;81.393
1981;LKA;Sri Lanka;26.79999924;0.058928171;2547.9;83.64;5.699524769;946.2370966;19189999.94;68.529;0;243.5469782;2;81.324
1982;LKA;Sri Lanka;39.79999924;0.055286017;2755.3;79.41;4.1414957;970.9074005;22009999.87;68.801;0;247.1887578;2.2;81.34
1983;LKA;Sri Lanka;44.59999847;0.055263548;3065.6;90.76;4.813990971;1003.186247;19480000.02;68.975;0;250.7518897;2.1;81.356
1984;LKA;Sri Lanka;59.59999847;0.054676033;2632.8;84.74;5.099146561;1039.542587;17070000.05;69.057;0;254.3212725;1.8;81.371
1985;LKA;Sri Lanka;67.59999847;0.054153365;2960.6;88.79;4.999406369;1076.142944;26810000.72;69.079;0;257.9537554;2.2;81.387
1986;LKA;Sri Lanka;54.70000076;0.054056166;2990.5;88.36;4.355546917;1107.097254;23670000.2;69.086;0;261.6625578;2.1;81.403
1987;LKA;Sri Lanka;49.09999847;0.053773287;2997.4;76.43;1.725610691;1110.294038;32410000.26;69.121;0;265.4114495;2.1;81.418
1988;LKA;Sri Lanka;61.70000076;0.05320476;2917.1;81.31;2.472685038;1121.958344;32379999.4;69.209;0;269.1466911;2.4;81.434
1989;LKA;Sri Lanka;75.40000153;0.052669259;2880.8;77.41;2.299301414;1132.420341;21729999.9;69.352;0;272.7914687;2.6;81.449
1990;LKA;Sri Lanka;93.40000153;0.051945734;2965;85.11;6.399995307;1189.663768;24040000.2;69.509;0.005829466;276.2840536;1.9;81.465
1991;LKA;Sri Lanka;100.6999969;0.051494865;2925.8;81.84;4.599987245;1229.48904;24229999.78;69.62;0.010264757;279.6321001;2.1;81.48
1992;LKA;Sri Lanka;109.8000031;0.0510238;2957.7;82.66;4.399991252;1269.033731;30200000.05;69.639;0.014906843;282.8387976;2;81.496
1993;LKA;Sri Lanka;104.4000015;0.04909393;3024.2;88.05;6.900063252;1342.369374;24430000.01;69.557;0.081936653;285.8367565;2.5;81.511
1994;LKA;Sri Lanka;109.9000015;0.048799421;2902;94.41;5.599918727;1404.25009;24800000.19;69.403;0.161275731;288.5421304;2.6;81.527
1995;LKA;Sri Lanka;156;0.048566808;3052.6;96.99;5.500085232;1469.430813;27390000.11;69.259;0.281292811;290.9091373;2.4;81.542
1996;LKA;Sri Lanka;158.6000061;0.048292377;3008.5;85.09;3.799967205;1514.940186;16210000.2;69.237;0.386714685;292.8924892;2.8;81.558
1997;LKA;Sri Lanka;173.8999939;0.048075622;3143.2;87.57;6.405399698;1602.935814;15789999.82;69.419;0.621994597;294.5447297;2.8550669;81.573
1998;LKA;Sri Lanka;156.5;0.047886841;3400.1;89.4;4.698423046;1669.778086;13389999.8;69.845;0.938355846;296.0388933;2.6;81.589
1999;LKA;Sri Lanka;179.1999969;0.04849093;3192;93.21;4.300540498;1732.378655;17739999.87;70.503;1.375186703;297.6125658;2.521818182;81.604
2000;LKA;Sri Lanka;255.708;0.048728269;3338.2;95.29;6.00003316;1825.142522;19639999.87;71.333;2.291038136;299.4355127;2.443636364;81.62
2001;LKA;Sri Lanka;217.567;0.048435548;3424.9;92.35;-1.545408134;1784.19208;18719999.97;72.233;3.530412078;301.57439;2.365454545;81.635
2002;LKA;Sri Lanka;203.126;0.049101686;3405.1;94.16;3.964675686;1840.260154;19699999.69;73.085;4.886053138;303.9783448;2.287272727;81.651
2003;LKA;Sri Lanka;238.009;0.0494173;3282.6;97.94;5.940269078;1933.192703;18220000.22;73.799;7.248233032;306.5545686;2.209090909;81.666
2004;LKA;Sri Lanka;312.627;0.046422494;3563.7;93.25;5.445061278;2021.305449;10910000.14;74.337;11.40527441;309.1556849;2.130909091;81.681
2005;LKA;Sri Lanka;310.362;0.056280413;3467.2;102.32;6.241748045;2130.128407;15959999.82;74.695;17.20018963;311.6725881;2.052727273;81.697
2006;LKA;Sri Lanka;325.413;0.053310393;3579.8;104.42;7.6682919;2275.891728;12489999.9;74.904;27.48021778;314.0802424;1.974545455;81.712
2007;LKA;Sri Lanka;343.641;0.050398034;3727.9;103.33;6.796826119;2412.686828;14010000.09;75.037;40.23521468;316.4095679;1.896363636;81.728
2008;LKA;Sri Lanka;331.457;0.060048087;3616.7;115.11;5.950088145;2538.087619;18059999.76;75.157;55.45667971;318.6730027;1.818181818;81.743
2009;LKA;Sri Lanka;278.998;0.054662438;3790.6;113.5;3.538912053;2609.688012;24200000.13;75.286;81.02671264;320.897911;1.74;81.758
2010;LKA;Sri Lanka;339.0489194;0.059224932;3974.3;124.68;8.015967371;2799.648876;19679999.83;75.439;85.67533968;323.1021687;1.7;81.774
2011;LKA;Sri Lanka;364.50263;0.063729645;3520.8;118.99;8.404733021;3014.578745;31289999.77;75.614;89.80782751;325.2857598;1.68;81.789
2012;LKA;Sri Lanka;405.42043;0.06119951;3582.9;124.86;9.144572246;3286.007594;27293111.83;75.796;94.15682378;325.7056291;1.43;81.804
2013;LKA;Sri Lanka;385.12;0.063152781;3833.5;139.8;3.39573265;3371.183337;19693037.54;75.974;98.31633729;328.2570563;1.299770259;81.802
2014;LKA;Sri Lanka;384.7086541;0.062566176;3801.9;125.25;4.960700592;3505.550452;14092534.53;76.147;106.4193583;331.3347154;1.587121407;81.782
2015;LKA;Sri Lanka;381.6320526;0.061993324;3444.2;130.6;5.007683305;3647.393421;14852253.95;76.316;114.308452;334.396428;1.845555936;81.744
2016;LKA;Sri Lanka;403.075584;0.061312078;3183.6;131.27;4.486634531;3769.159089;32030521.45;76.482;122.7200854;338.1119439;2.53616036;81.689
2017;LKA;Sri Lanka;398.4734642;0.062247944;2146.8;129.880282;3.419819189;3854.248903;18977685.9;76.648;133.4676273;341.9550311;2.307720969;81.616
2018;LKA;Sri Lanka;436.198;0.061822589;3233.500117;130.2525104;3.209131128;3936.450246;11954857.65;76.39100762;142.6507235;345.558922;2.110631304;81.524
2019;LKA;Sri Lanka;;0.061532902;2807.143086;130.8847208;4.012222293;3801.006851;0;76.51850352;127.8083452;339.8632692;2.317044768;81.64992811
1960;MAR;Morocco;;0.518465678;407.6;23.33;10.02884136;815.3858691;0;48.458;0;28.47735135;3.3;70.643
1961;MAR;Morocco;;0.518465678;407.6;23.33;10.02884136;815.3858691;0;48.88;0;28.47735135;3.3;70.151
1962;MAR;Morocco;;0.503249818;1068.9;27.17;10.02884136;815.3858691;0;49.307;0;29.33836985;3.3;69.655
1963;MAR;Morocco;;0.493381162;891.3;29.13;10.02884136;815.3858691;0;49.738;0;30.19765874;3.3;69.154
1964;MAR;Morocco;;0.483487495;864.1;29.83;10.02884136;815.3858691;0;50.168;0;31.04729354;3.3;68.647
1965;MAR;Morocco;;0.477858195;881.3;33.4;10.02884136;815.3858691;0;50.593;0;31.88189049;3.3;68.138
1966;MAR;Morocco;;0.472753308;468.5;29.48;10.02884136;815.3858691;0;51.009;0;32.70007169;3.3;67.623
1967;MAR;Morocco;;0.461414049;728.1;29.95;10.02884136;875.3429267;0;51.413;0;33.50367657;3.3;67.104
1968;MAR;Morocco;;0.457298958;1348.1;42.32;9.891739306;939.4343609;2400000.095;51.808;0;34.29509567;3.3;66.581
1969;MAR;Morocco;;0.447088854;880.9;33.58;8.362165357;995.0555827;3810000.042;52.195;0;35.07828785;3.3;66.054
1970;MAR;Morocco;4.800000191;0.442119271;942;34.08;4.713460376;1019.252445;4769999.921;52.572;0;35.85771161;3.3;65.523
1971;MAR;Morocco;6.199999809;0.488230573;1142.6;40.5;5.596893659;1053.652373;7380000.055;52.94;0;36.63324148;3.4705303;64.988
1972;MAR;Morocco;5.300000191;0.427085498;1120.8;37.49;2.437237347;1057.24917;3870000.038;53.305;0;37.40845768;3.3;64.325
1973;MAR;Morocco;7.199999809;0.422030818;686.4;35.1;3.559310832;1072.587895;5310000.122;53.676;0;38.19968183;3.7;63.651
1974;MAR;Morocco;7.300000191;0.413480759;1051.9;39.22;5.596049945;1109.001609;6660000.116;54.066;0;39.01667936;3.1;62.971
1975;MAR;Morocco;11;0.409807417;887.8;36.04;7.558221561;1166.940915;6579999.998;54.492;0;39.87489133;3.6;62.286
1976;MAR;Morocco;17.60000038;0.401948607;1187.3;39.77;10.81278134;1263.886967;7459999.844;54.976;0;40.77715438;4.3;61.595
1977;MAR;Morocco;22.60000038;0.400105413;581.9;33.78;6.059167679;1309.191402;7439999.953;55.525;0;41.72102397;4.5;60.901
1978;MAR;Morocco;22.5;0.401788689;999.3;40.03;2.232663388;1306.472016;10160000.38;56.142;0;42.70618418;4.9;60.202
1979;MAR;Morocco;30.39999962;0.384486463;928;42.89;4.793787205;1336.044281;10760000.14;56.823;0;43.73054448;5.1;59.498
1980;MAR;Morocco;25.60000038;0.376688118;1019.5;42.64;3.642164813;1351.206454;12269999.98;57.56;0;44.79052655;4.9;58.79
1981;MAR;Morocco;30.39999962;0.375493507;485.2;39.4;-1.74343493;1295.495422;25350000.11;58.339;0;45.88777728;5.2;58.08
1982;MAR;Morocco;38.79999924;0.370138995;1146.8;48.58;8.957372023;1377.417926;28729999.83;59.139;0;47.01772126;5.1;57.366
1983;MAR;Morocco;33.90000153;0.363943647;760;42.82;1.386569577;1363.26532;25719999.48;59.936;0;48.16286354;5.4;56.653
1984;MAR;Morocco;30.70000076;0.356048135;837.5;45.27;6.418386321;1417.280283;21220000.01;60.717;0;49.30011875;5.1;55.937
1985;MAR;Morocco;36.20000076;0.350147184;1108.5;48.82;6.007652072;1469.198553;25290000.98;61.469;0;50.41252521;5;55.221
1986;MAR;Morocco;43.90000153;0.346252568;1509.7;59.23;9.271105769;1571.636024;30360000.06;62.188;0;51.49077974;4.4;54.502
1987;MAR;Morocco;50.90000153;0.34827109;853.7;55.89;-0.325004076;1535.138398;20650000.33;62.877;0.000255894;52.53697513;4.6;53.781
1988;MAR;Morocco;48.79999924;0.341956974;1495.4;66.82;11.87523598;1684.408815;27840000.81;63.535;0.000439265;53.55947121;4.2;53.057
1989;MAR;Morocco;34;0.347229935;1342.9;74.52;2.846202581;1699.955377;39960001.12;64.157;0.00287408;54.57230338;5;52.334
1990;MAR;Morocco;31.5;0.350983103;1120;69.35;3.411812226;1725.709022;42770000.4;64.732;0.003644065;55.58472328;5;51.609
1991;MAR;Morocco;55.90000153;0.345085534;1575.9;78.95;7.216088161;1816.836081;32849999.7;65.251;0.005938147;56.59960565;4.6;50.883
1992;MAR;Morocco;56.59999847;0.347472246;587.7;62.72;-2.097738761;1747.298302;33790000.42;65.715;0.012511957;57.61014116;5.1;50.156
1993;MAR;Morocco;53.29999924;0.344061562;560.4;62.98;-0.740591692;1704.696985;36659999.6;66.128;0.025711901;58.60453283;5.3;49.431
1994;MAR;Morocco;49.29999924;0.343207792;1584.9;78.47;10.5880004;1854.472546;18609999.64;66.501;0.051887421;59.56638584;5;48.705
1995;MAR;Morocco;57.70000076;0.330477787;446.5;55.4;-5.405447867;1727.311371;17549999.77;66.846;0.109323282;60.48453955;5.3;48.308
1996;MAR;Morocco;57;0.33217116;1687.2;84.29;12.37287628;1913.108705;8939999.774;67.175;0.156817216;61.35665024;4.9;47.978
1997;MAR;Morocco;53.90000153;0.323550308;833.9;73.04;-1.560702356;1857.728788;12529999.81;67.508;0.268323369;62.18814923;4.8467624;47.65
1998;MAR;Morocco;58;0.321339653;1122.7;82.94;7.23855269;1966.513397;10809999.78;67.86;0.41495255;62.98553215;4.73624832;47.322
1999;MAR;Morocco;57.79999924;0.30988727;743.5;77.44;1.081332562;1962.993308;11690000.04;68.245;1.297372681;63.75870267;5.01;46.993
2000;MAR;Morocco;62.545;0.304476548;366.8;72.03;1.912872981;1976.090832;9949999.959;68.684;8.133729629;64.51642169;5.5;46.665
2001;MAR;Morocco;62.97;0.291420169;894.6;77.25;7.319967454;2095.173958;8459999.919;69.193;16.38290509;65.26177459;5.3;46.338
2002;MAR;Morocco;51.185;0.285250931;1068.7;83.59;3.121449656;2134.849898;6979999.959;69.769;21.04470828;65.99768765;5.5;46.01
2003;MAR;Morocco;52.553;0.304033686;1432.9;96.31;5.961162155;2235.418678;5449999.989;70.399;24.71174383;66.73287923;5.4;45.683
2004;MAR;Morocco;61.898;0.27261968;1512.1;96.98;4.797018362;2315.186662;8240000.043;71.067;31.00385739;67.47751288;5.3;45.356
2005;MAR;Morocco;60.764;0.266683644;783.9;93.2;3.291639684;2363.444676;9999999.944;71.746;40.69143563;68.24010979;6.983324351;44.826
2006;MAR;Morocco;50.626;0.26177838;1652.1;109.82;7.574631645;2512.862411;5469999.924;72.403;51.95551274;69.02236836;5.2;44.254
2007;MAR;Morocco;44.809;0.258794912;516.4;92.75;3.531594152;2571.26444;4689999.939;73.009;64.27130717;69.82673762;5.2;43.683
2008;MAR;Morocco;55.478;0.255320679;1002.9;102.45;5.923277686;2691.267812;12040000.1;73.546;72.34623057;70.66280753;5.2;43.114
2009;MAR;Morocco;62.807;0.25179549;1919.4;121.41;4.243757321;2771.046755;4479999.84;74.003;79.2717969;71.54175891;5.2;42.548
2010;MAR;Morocco;64.571;0.238976188;1547.5;125.06;3.815717917;2839.925168;3569999.992;74.382;98.88351218;72.47006274;5.2;41.982
2011;MAR;Morocco;40.98431707;0.238052453;1614.4;128.37;5.245697297;2948.84549;11340000.06;74.696;111.5066406;73.45249832;5.2;41.419
2012;MAR;Morocco;38.84086358;0.242074024;1016.6;123.11;3.009961262;2995.452357;6935664.654;74.97;117.3709565;74.48330271;5.2;40.858
2013;MAR;Morocco;43.321464;0.241134002;1828.3;127.77;4.5354242;3087.123497;6788990.792;75.227;125.8279977;75.54490925;5.2;40.3
2014;MAR;Morocco;47.000251;0.237772505;1454.3;131.56;2.669493927;3125.079481;6348882.527;75.477;129.0186985;76.6129218;5.2;39.744
2015;MAR;Morocco;52.913598;0.234539958;2140.7;139.01;4.536378168;3222.054178;11956754.51;75.726;124.279337;77.66883935;5.2;39.191
2016;MAR;Morocco;53.82625368;0.231450535;936.2;118.49;1.05985639;3214.917464;6277429.73;75.974;118.1848162;78.70557024;5.2;38.64
2017;MAR;Morocco;77.93581;0.236297934;1757.7;131.8568366;4.234850054;3302.906379;10540271.88;76.218;123.4247246;79.72505938;5.2;38.092
2018;MAR;Morocco;97.71152;0.23388977;1561.472881;129.1573969;2.99021417;3357.359102;15141378.48;75.83820456;124.1715549;80.72851893;5.2;37.547
2019;MAR;Morocco;;0.232474251;1469.94006;124.273873;2.942508021;3264.653835;0;76.0269526;121.8550994;79.16440725;5.2;38.3914219
1960;MDG;Madagascar;;0.368522052;1784.8;46.02;2.048632751;818.8237592;0;39.962;0;8.982302163;2.8;89.358
1961;MDG;Madagascar;;0.368522052;1784.8;46.02;2.048632751;815.7313505;0;40.444;0;8.982302163;2.8;89.029
1962;MDG;Madagascar;;0.362447251;1761.6;47.2;2.271069702;814.1609821;0;40.924;0;9.204015201;2.8;88.691
1963;MDG;Madagascar;;0.356340927;1758.2;48.72;-0.929401624;786.9206372;0;41.401;0;9.434121471;2.8;88.343
1964;MDG;Madagascar;;0.350212012;1806.4;50.77;3.962518848;797.9094257;0;41.876;0;9.672875469;2.8;87.986
1965;MDG;Madagascar;;0.344067428;1744.9;49.69;-0.452253864;774.4676217;0;42.351;0;9.920586718;2.8;87.621
1966;MDG;Madagascar;;0.337918036;1585.5;53.1;2.064552407;770.5068927;0;42.828;0;10.17745125;2.8;87.253
1967;MDG;Madagascar;;0.331767741;1652.7;55.34;5.52856561;792.3631888;0;43.31;0;10.44386629;2.8;86.926
1968;MDG;Madagascar;;0.325609335;1686.2;56.39;6.828786099;824.6208063;1620000.005;43.796;0;10.72061251;2.8;86.59
1969;MDG;Madagascar;;0.320216385;1770.3;58.68;3.721222168;832.9343919;2029999.954;44.283;0;11.00856519;2.8;86.249
1970;MDG;Madagascar;6.900000095;0.313245812;1857.8;59.86;5.276455575;853.6314612;2929999.903;44.771;0;11.30843106;2.8;85.9
1971;MDG;Madagascar;7.199999809;0.306310439;1792.4;59.31;3.929365032;863.3404435;3629999.877;45.257;0;11.62061079;2.9;85.474
1972;MDG;Madagascar;7.699999809;0.300865745;1797.6;60.93;-1.272621531;829.1912235;2739999.95;45.735;0;11.94521443;3;85.036
1973;MDG;Madagascar;8.699999809;0.294009473;1741.8;61.28;-2.61847833;785.3203011;2980000.027;46.203;0;12.28226261;2.6;84.589
1974;MDG;Madagascar;9;0.289145605;1809.5;68.72;2.006879379;778.9262499;3049999.974;46.656;0;12.63159886;2.3;84.131
1975;MDG;Madagascar;7.599999905;0.303863433;1759;67.51;1.258691634;766.7841466;3159999.937;47.094;0;12.99313203;2.4;83.666
1976;MDG;Madagascar;6.699999809;0.294463886;1847.4;68.81;-3.068858391;722.4638863;4360000;47.517;0;13.36700657;3.1;83.245
1977;MDG;Madagascar;6.599999905;0.3054451;1695.8;63.21;2.364000359;718.7648677;4789999.932;47.926;0;13.75342023;3.6;82.816
1978;MDG;Madagascar;6.199999809;0.303758661;1621.2;69.73;-2.661805965;679.9063411;3980000.049;48.317;0;14.15245383;4.1;82.378
1979;MDG;Madagascar;17.29999924;0.297532183;1687.5;65.78;9.85465029;725.7921796;6280000.15;48.683;0;14.56421226;3.6;81.932
1980;MDG;Madagascar;19.79999924;0.291399593;1681.8;69.27;0.805770818;710.9179764;9769999.891;49.005;0;14.98874196;3.7;81.476
1981;MDG;Madagascar;21;0.285352977;1621.7;69.34;-9.698788375;623.7352529;12539999.96;49.26;0;15.42687519;3.4;81.012
1982;MDG;Madagascar;19.70000076;0.278315367;1593.7;70.13;-1.810194161;595.015546;8750000.074;49.442;0;15.87875125;2.9;80.539
1983;MDG;Madagascar;19.29999924;0.273560935;1729.7;73.83;0.902106319;583.3177798;7280000.001;49.56;0;16.34329711;2.6;80.057
1984;MDG;Madagascar;22.10000038;0.267869777;1742.6;76.23;1.704678841;576.4847716;9720000.058;49.634;0;16.81891529;2.9;79.566
1985;MDG;Madagascar;20.10000038;0.263327999;1749.3;76.47;1.155877164;566.7711039;10770000.04;49.694;0;17.30490594;2.7;79.067
1986;MDG;Madagascar;19.20000076;0.257918185;1782.2;78.02;1.959105768;561.7631606;15120000.03;49.781;0;17.80121746;2;78.558
1987;MDG;Madagascar;21;0.251696273;1884.6;77.54;1.178085519;552.6001542;21939999.97;49.932;0;18.30958146;1.8;78.041
1988;MDG;Madagascar;23.39999962;0.246521423;1823.3;78.75;3.40341701;555.5137369;16169999.9;50.176;0;18.83343364;1.8;77.513
1989;MDG;Madagascar;29;0.240490039;1955.7;80.93;4.078892777;561.9457178;19579999.98;50.53;0;19.3772707;1.6;76.979
1990;MDG;Madagascar;30.20000076;0.234510394;1945.3;81.42;3.130029428;563.0473247;24019999.8;51.003;0;19.94468652;2;76.434
1991;MDG;Madagascar;26.10000038;0.230263893;1927.5;82.77;-6.309534393;512.3187528;31090000.46;51.595;0;20.53653919;2.1309807;75.881
1992;MDG;Madagascar;27.5;0.225991713;1934.2;84.11;1.186152287;503.2872219;34839999.55;52.278;0;21.15303504;2.1309807;75.319
1993;MDG;Madagascar;27.10000038;0.228788541;1924.4;87.63;2.096559819;498.6726671;25959999.74;53.022;0;21.79636826;2.2;74.749
1994;MDG;Madagascar;23.60000038;0.221940876;1926.3;84.28;-0.071608256;483.4009389;20530000.21;53.808;0.00229594;22.46886371;2.0720357;74.464
1995;MDG;Madagascar;31.5;0.21520697;1968;87.35;1.712213176;476.7598016;22040000.12;54.616;0.009647209;23.17192283;2.0720357;74.204
1996;MDG;Madagascar;25.20000076;0.208592756;2007.9;89.04;2.148915048;472.0372565;16289999.78;55.43;0.016543563;23.90667538;2.0720357;73.942
1997;MDG;Madagascar;29;0.202120819;2000.8;90.89;3.693492606;474.2852385;18050000.12;56.239;0.028575702;24.67217044;1.9;73.679
